tweetid;tweetid-href;tweetername;tweeterhandle;tweetbody;numberoflikes;numberofretweets;timeoftweet
27. apr. 2016;https://twitter.com/OmnibusAU/status/725312445489762304;Omnibus;@OmnibusAU;1:3 Ph.d. fra 2015: Ansatte der udøver selvcensur på arb. er mere stressede end dem, der ikke gør det. 1700 #yrt16 #aarhusuni;0;0;1461762937
27. apr. 2016;https://twitter.com/OmnibusAU/status/725305445024419840;Omnibus;@OmnibusAU;DJ-undersøgelse: 52-57 % mener det vil være problem for dem at ytre sig off. om adm. eller pol. ledelse på arb.pladsen #ytr16 #aarhusuni;0;0;1461761268
27. apr. 2016;https://twitter.com/OmnibusAU/status/725304582428069888;Omnibus;@OmnibusAU;DJ-undersøgelse: Tæt på 41 pct har af hensyn til arb.giver undladt at deltage i off. debat, undersk.indsaml eller en demo #yrt16 #aarhusuni;0;0;1461761062
27. apr. 2016;https://twitter.com/OmnibusAU/status/725303232944300033;Omnibus;@OmnibusAU;DJ-undersøg: Kun 67 pct. mener at off. ansat har ret til at ytre sig off. om forhold på arb.plads #yrt16 #aarhusuni pic.twitter.com/TTqKD8iCmw;0;0;1461760740
27. apr. 2016;https://twitter.com/OmnibusAU/status/725300930330120192;Omnibus;@OmnibusAU;2:2 Undersøgelsen lavet blandt 965 medlemmer af DJ ansat i stat, regioner og kommuner. Svarpct. var 38,3 #ytr16 #aarhusuni;0;0;1461760191
27. apr. 2016;https://twitter.com/OmnibusAU/status/725300605934297088;Omnibus;@OmnibusAU;1:2 Over 40 pct. af off. ansatte har været tavse i off. debat af hensyn til arb.giver, viser unders. fra Jourforbund - DJ. #yrt16 #aarhusuni;0;0;1461760114
27. apr. 2016;https://twitter.com/OmnibusAU/status/725298210462380032;Omnibus;@OmnibusAU;Til konference om offentligt ansattes ytringsfrihed #yrt16 #aarhusuni pic.twitter.com/xEUIEP2cu2;0;0;1461759543
26. apr. 2016;https://twitter.com/Olefrank/status/725264224541392896;Ole Frank Nielsen;@Olefrank;.@PiaOlsen Jeg er jyde, uddannet i Jylland og m job på #AarhusUni - jeg stemte på SF tilbage i 00'erne. Jeg vil gerne have min stemme retur!;1;0;1461751440
26. apr. 2016;https://twitter.com/schioelin/status/725224421724676096;Kasper Schiølin;@schioelin;er til Sløks 100 års fødselsdag i et stort, stopfyldt auditorium;2;0;1461741950
26. apr. 2016;https://twitter.com/Olefrank/status/725224110482149376;Ole Frank Nielsen;@Olefrank;Kloge ord af #aarhusuni's @FinnFrandsen om dansk/nordisk ledelse som forbillede - dog uden Sarah Lund sweater plz FFhttps://twitter.com/aarhusuni/status/725223130675875840 …  folk sidder på gulvet og står op #sløk #Aarhusuni;0;0;1461741876
26. apr. 2016;https://twitter.com/AarhusUni/status/725211847318736896;Aarhus Universitet;@AarhusUni;Lige nu kan du live opleve Jacob Giehm Mikkelsen, genetiker v #AarhusUni forklare hvordan CRISPR fungerer @etiskraadhttps://twitter.com/videnskabdk/status/725204248103886848 …;2;1;1461738952
26. apr. 2016;https://twitter.com/ChristinaGodsk/status/725004203781935108;Christina Godsk;@ChristinaGodsk;De har store forventninger til #kapsejlads2016 hos @mxnyheder #austudieliv #aarhusuni pic.twitter.com/zBEHutWR8P;4;1;1461689446
25. apr. 2016;https://twitter.com/UltraPedel/status/724876267057778688;Thomas G. Sørensen;@UltraPedel;1.års astrofysik-studerende på #aarhusuni gennemgår universets opståen. I rap-form. Det er sgu i orden https://vimeo.com/162814358  #BigBangSlang;3;2;1461658944
25. apr. 2016;https://twitter.com/AarhusUni/status/724860364068892672;Aarhus Universitet;@AarhusUni;LEGO & #AarhusUni: Creativity, engagement & lifelong learning are 3 key focal points for #PLAYTrack @interact_minds http://interactingminds.au.dk/news/enkelt/artikel/play-as-a-field-for-research/ …;12;4;1461655152
24. apr. 2016;https://twitter.com/AarhusUni/status/724541752263225344;Aarhus Universitet;@AarhusUni;Mød AU's hukommelsesforskere til #forskdk 29. april på #AarhusUni og gå på opdagelse i din egen hukommelse http://www.jyllands-posten.dk/protected/premium/indland/ECE8605597/erindringer-kan-hjaelpe-mennesker-med-depression-til-sundere-tanker/ …;5;2;1461579189
